,record,AGENUM,AGE_r999,age,ageR,ageRR,PROV,Q0QC,RégionR,REGIO,AREA,sexe,ENFA,EMPLO,OCCUP,REVENX,REVEN,PROP,SCOL,scolR,LANGU,langR,ETHNr1,ETHNr2,ETHNr3,ETHNr4,ETHNr5,ETHNr6,ETHNr7,ETHNr8,ETHNr9,ETHNr10,ETHNr11,ETHNr12,ETHNr96,ETHNr99,FSA,FSA_rA9A,QPC1r1,QPC1r2,QPC1r2_inv,QPC1r3,QPC1r4,QPC1r4_inv,QPC1r5,QPC2,XQPC3,XQPC3A,QPC3r1,QPC3r5,QPC3r2,QPC3r6,QPC3r3,QPC3r7,QPC3r4,QPC3r8,QPC4r1,QPC4r2,QPC4r3,QPC4r4,QPC4r5,QPC4r6,QPC4r7,QPC5r1,QPC5r1_inv,QPC5r2,QPC5r3,QPC5r4,QPC5r1R,QPC5r2R,QPC5r3R,QPC5r4R,QPC6r1,QPC6r2,QPC6r3,QPC6r4,QPC6r1R,QPC6r2R,QPC6r3R,QPC6r4R,POND,cons,FAC1_1,Ind.Col_5,FAC1_2,Pré_Iden,FAC2_2,Est_Iden,FAC1_3,Symbol,FAC2_3,Norma,FAC3_3,Fonction,FAC1_4,Souv.fédé,filter_$,cinq_cohortes
538,2833.0,57.0,0.0,6.0,3.0,5.0,6.0,5.0,2.0,3.0,2.0,1.0,2.0,7.0,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J2S,0.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.9422642978329467,2.0,-1.174033558969024,2.0,-0.9152446451362442,2.0,0.6514954382737974,1.0,-0.27024827101543275,2.0,-0.8129934605229464,2.0,0.3968217394779207,1.0,0.4739574005192184,2.0,1.0,5.0
539,2834.0,51.0,0.0,5.0,2.0,4.0,6.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,7.0,8.0,6.0,1.0,7.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G1K,0.0,2.0,4.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,4.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,0.15709019103978766,3.0,0.5989911498448275,1.0,0.4229625528401021,1.0,0.6638981790932797,1.0,-0.1709464202481659,2.0,0.30138180565915434,1.0,-1.1543662710815163,2.0,-0.21708408264806583,2.0,1.0,4.0
540,2835.0,39.0,0.0,4.0,2.0,3.0,6.0,6.0,4.0,1.0,3.0,2.0,1.0,1.0,7.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H1c,0.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.112508315562436,2.0,-0.2323089356803062,2.0,-0.7955215171070087,2.0,-0.04288098533459123,2.0,-0.481699135900822,2.0,0.4506281460119947,1.0,1.133719158894814,1.0,0.4739574005192184,2.0,1.0,3.0
541,2836.0,37.0,0.0,4.0,2.0,3.0,6.0,17.0,3.0,3.0,3.0,1.0,1.0,1.0,6.0,3.0,3.0,1.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,3.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5459026577833247,5.0,1.8624739390232934,1.0,0.6619522286271635,1.0,0.9634933264398264,1.0,0.08124842669387156,1.0,-1.9263713615783746,2.0,-1.866469737615324,2.0,-1.5421901398296158,3.0,1.0,3.0
542,2842.0,38.0,0.0,4.0,2.0,3.0,6.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,6.0,6.0,6.0,1.0,7.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G2G,0.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,4.0,4.0,1.0,1.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,0.13128569141716104,4.0,0.4587847447999516,1.0,0.00321888140377935,1.0,0.6499918064340118,1.0,-0.1428485987237917,2.0,-2.1154609979061436,2.0,-1.0760144707195523,2.0,-0.9001608075701331,3.0,1.0,3.0
543,2845.0,46.0,0.0,5.0,2.0,4.0,6.0,16.0,2.0,3.0,3.0,1.0,2.0,1.0,96.0,6.0,6.0,1.0,2.0,1.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J0L,0.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.2612054897575795,4.0,1.8624739390232934,1.0,-0.93303742179997,2.0,-0.07257198078864821,2.0,-0.481699135900822,2.0,0.4506281460119947,1.0,1.133719158894814,1.0,-0.21310170352545732,2.0,0.0,4.0
544,2846.0,48.0,0.0,5.0,2.0,4.0,6.0,12.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,8.0,6.0,1.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G6G,0.0,1.0,3.0,2.0,2.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.6532010600288516,4.0,0.569209282563536,1.0,0.8665787495742252,1.0,-0.8329033018634634,2.0,0.2961932636697411,1.0,0.26184835388863487,1.0,-0.6718379936339268,2.0,-0.21310170352545732,2.0,1.0,4.0
545,2856.0,59.0,0.0,6.0,3.0,5.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G1C,0.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,4.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,0.19370255836621803,2.0,1.385559185322592,1.0,0.8665787495742252,1.0,-0.8329033018634634,2.0,0.47589576620558494,1.0,-0.2983700524628703,2.0,-0.5576743291301021,2.0,1.4820311706936353,1.0,1.0,5.0
546,2857.0,42.0,0.0,4.0,2.0,3.0,6.0,13.0,4.0,1.0,2.0,2.0,1.0,7.0,,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H7A,0.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,4.0,3.0,2.0,3.0,4.0,2.0,4.0,1.0,2.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,2.112508315562436,4.0,-0.12188439791672194,2.0,1.020964104834755,1.0,1.368933605093141,1.0,-0.16736931279640854,2.0,-1.7358793185014794,2.0,2.6433505619499464,1.0,-0.8591134149075486,3.0,1.0,3.0
547,2858.0,47.0,0.0,5.0,2.0,4.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,6.0,6.0,1.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G1C,0.0,2.0,4.0,1.0,2.0,4.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,0.13885825643813368,3.0,0.9356994985006531,1.0,0.8665787495742252,1.0,-0.8329033018634634,2.0,-0.3542994636091807,2.0,-0.8518393913712027,2.0,-0.3391170513026587,2.0,0.12843665893557632,2.0,1.0,4.0
